bi;Biologie
college bi;College Biobased Economy
slb;Studieloopbaanbegeleiding (SLB)
tutor;Tutorles
th. prak;Theorie voor de praktijk
th. prak/expert;Theorie voor de praktijk door externe expert
guest lect;Gastcollege
maple ta;Maple TA (online testing & assessment software)
ipv;Interpersoonlijke Vaardigheden Gesprek (IPV)
ws feedback;Workshhop Feedback
bm4-cytologie;Cytologie (BM4)
bm4-microbiologie;Microbiologie (BM4)
bm4-p;Praktijk (BM4)
bm4-plo_scv_ch;Conflicthantering (LPO SC) (BM4)
bm4-p_th/exp;Theorie voor de praktijk (BM4)
bm4-tutor;Tutorlessen
bm4-ws_analyse;Workshop analyse (BM4)
bm4-ws_vmt;Workshop VMT (BM4)
studieloopbaanbegeleiding (slb);Studieloopbaanbegeleiding (slb)
toetsinzage p-toetse;Inzage praktijktoetsen
